frequency,workload,tool,run_number,duration,energy_consumption,cpu_usage_percentage,total_datagrams_count,memory_usage_percentage,load_avg
F_MEDIUM,W_MEDIUM,zipkin,r2,778,57656.100000000006,58.095519480519485,1095782.6,63.06151948051947,14.848636363636365
F_MEDIUM,W_LOW,netdata,r2,759,39827.100000000006,33.48627192982456,465137.57999999996,60.87109649122807,7.259634502923976
F_LOW,W_MEDIUM,prometheus,r2,845,52448.9,44.37325974025975,963920.22,64.62158441558442,11.005090909090908
F_MEDIUM,W_LOW,baseline,r2,724,40788.2,36.31616398243045,471353.23000000004,61.16647144948755,6.881493411420205
F_LOW,W_MEDIUM,elastic,r2,655,44763.4,60.64973244147157,915790.47,99.20866220735788,21.226187290969897
F_HIGH,W_MEDIUM,elastic,r2,615,45903.3,60.65178631051753,1019037.53,99.21888146911519,21.169782971619366
F_HIGH,W_LOW,prometheus,r2,744,41246.399999999994,33.2603947368421,472508.78,53.09016081871345,5.85469298245614
F_LOW,W_MEDIUM,zipkin,r2,753,50117.1,55.1277485380117,929375.92,62.343055555555544,13.692909356725144
F_MEDIUM,W_LOW,elastic,r2,781,45842.5,32.04018181818182,517280.15,99.21474025974027,7.374454545454546
F_HIGH,W_HIGH,baseline,r2,930,67282.8,65.38162763466043,2132606.58,59.85596018735364,24.13269320843091
F_HIGH,W_LOW,zipkin,r2,788,47150.9,39.209519480519475,525172.81,70.75867532467532,8.728272727272726
F_HIGH,W_HIGH,zipkin,r2,1033,87107.1,78.82448780487806,2374588.23,74.29716097560976,34.68964878048781
F_HIGH,W_LOW,netdata,r2,798,45497.899999999994,32.718077922077924,506097.86,65.25248051948053,7.094779220779221
F_HIGH,W_LOW,baseline,r2,730,41108.40000000001,35.13869883040935,463984.05,64.12505847953217,6.963070175438596
F_HIGH,W_HIGH,netdata,r2,934,69368.29999999999,69.01442105263158,2155021.1500000004,73.23401169590643,27.65410526315789
F_MEDIUM,W_HIGH,netdata,r2,844,64010.7,77.28874025974027,2076984.79,78.57055844155845,36.63103896103896
F_HIGH,W_HIGH,prometheus,r2,929,68628.9,69.26185964912281,2178113.6,78.90688888888889,28.881403508771932
F_LOW,W_MEDIUM,baseline,r2,778,52050.3,49.330350649350656,1079839.5899999999,73.21566233766234,14.247597402597405
F_LOW,W_HIGH,prometheus,r2,924,68567.29999999999,70.40148711943795,2198279.85,79.6687587822014,27.786100702576114
F_MEDIUM,W_HIGH,baseline,r2,907,68522.2,69.70370023419204,2221119.96,77.10272833723654,26.162412177985946
F_HIGH,W_MEDIUM,netdata,r2,702,49177.9,54.268609077598825,1031086.6400000001,72.00677891654466,16.040029282576867
F_MEDIUM,W_HIGH,zipkin,r2,966,80087.0,78.2780724174654,2312616.2,84.85626198083067,32.786624068157614
F_LOW,W_HIGH,zipkin,r2,967,78632.1,77.1531914893617,2289862.46,87.8876170212766,34.03243617021276
F_MEDIUM,W_HIGH,prometheus,r2,862,72294.4,74.7473567251462,2361640.1999999997,74.1766081871345,31.92559064327485
F_MEDIUM,W_MEDIUM,netdata,r2,712,48709.2,52.453318713450294,1011669.97,68.7490058479532,14.364956140350875
F_LOW,W_HIGH,netdata,r2,881,71674.79999999999,74.89891228070177,2305115.21,76.73635087719296,31.496596491228065
F_HIGH,W_MEDIUM,prometheus,r2,686,50058.5,56.05285505124451,1071332.4700000002,71.80838945827233,15.965124450951684
F_HIGH,W_MEDIUM,baseline,r2,691,49607.100000000006,55.47318713450292,1065153.21,69.80093567251461,16.18573099415205
F_LOW,W_LOW,prometheus,r2,753,41629.5,37.83213450292398,475189.87,69.75729532163743,8.750131578947368
F_LOW,W_LOW,baseline,r2,718,41299.600000000006,37.007894736842104,494098.1000000001,69.02279239766081,7.888640350877193
F_LOW,W_HIGH,baseline,r2,931,69145.29999999999,68.85653801169592,2137686.11,74.83934502923977,27.553906432748544
F_HIGH,W_LOW,elastic,r2,808,44820.100000000006,32.391363636363636,495601.62,99.20648051948052,8.761727272727272
F_LOW,W_HIGH,elastic,r3,975,75295.7,65.50033013844516,2310929.15,99.22991480298191,26.882619808306707
F_MEDIUM,W_MEDIUM,prometheus,r3,746,47596.700000000004,50.208682284041,979488.3200000001,56.70698389458273,13.997467057101025
F_LOW,W_MEDIUM,elastic,r3,828,53118.9,47.102545454545464,1007368.29,99.21296103896104,14.004363636363637
F_LOW,W_HIGH,netdata,r3,902,69352.6,69.4819649122807,2245160.39,62.100491228070176,28.064128654970762
